reactants,products
O[C:1]([CH:2]1[CH2:3][CH2:4][CH:5]([CH2:6][CH2:7][CH2:8][CH2:9][CH3:10])[CH2:11][CH2:12]1)=[O:13].[NH2:14][C@H:15]1[CH2:16][O:17][C@@H:18]2[C@@H:19]([NH:20][C:21](=[O:22])[CH:23]3[CH2:24][CH2:25]3)[CH2:26][O:27][C@H:28]12,[C:1]([CH:2]1[CH2:3][CH2:4][CH:5]([CH2:6][CH2:7][CH2:8][CH2:9][CH3:10])[CH2:11][CH2:12]1)(=[O:13])[NH:14][C@H:15]1[CH2:16][O:17][C@@H:18]2[C@@H:19]([NH:20][C:21](=[O:22])[CH:23]3[CH2:24][CH2:25]3)[CH2:26][O:27][C@H:28]12
C[O:1][C:2](=[O:3])[C@H:4]([CH2:5][c:6]1[cH:7][cH:8][c:9]([NH:10][C:11](=[O:12])[CH2:13][c:14]2[cH:15][cH:16][c:17]3[c:18]([n:19]2)[NH:20][CH2:21][CH2:22][CH2:23]3)[cH:24][cH:25]1)[NH:26][C:27](=[O:28])[c:29]1[c:30]([Cl:31])[cH:32][cH:33][cH:34][c:35]1[Cl:36],[OH:1][C:2](=[O:3])[C@H:4]([CH2:5][c:6]1[cH:7][cH:8][c:9]([NH:10][C:11](=[O:12])[CH2:13][c:14]2[cH:15][cH:16][c:17]3[c:18]([n:19]2)[NH:20][CH2:21][CH2:22][CH2:23]3)[cH:24][cH:25]1)[NH:26][C:27](=[O:28])[c:29]1[c:30]([Cl:31])[cH:32][cH:33][cH:34][c:35]1[Cl:36]
[O:1]=[C:2]1[CH2:3][CH2:4][N:5]([C:6]([c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)([c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[c:19]2[cH:20][cH:21][cH:22][cH:23][cH:24]2)[CH2:25]/[C:26]1=[CH:27]\[c:28]1[cH:29][cH:30][n:31]([CH2:32][c:33]2[cH:34][s:35][cH:36][n:37]2)[n:38]1,[OH:1][CH:2]1[CH2:3][CH2:4][N:5]([C:6]([c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)([c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[c:19]2[cH:20][cH:21][cH:22][cH:23][cH:24]2)[CH2:25]/[C:26]1=[CH:27]\[c:28]1[cH:29][cH:30][n:31]([CH2:32][c:33]2[cH:34][s:35][cH:36][n:37]2)[n:38]1
O[C:1](=[O:2])[c:3]1[cH:4][cH:5][c:6]([N:7]2[CH2:8][CH2:9][CH2:10][S:11]2(=[O:12])=[O:13])[cH:14][c:15]1[N:16]1[CH2:17][CH2:18][CH2:19][S:20]1(=[O:21])=[O:22].[CH3:23][c:24]1[cH:25][c:26]([C:27]([F:28])([F:29])[F:30])[cH:31][n:32][c:33]1[N:34]1[CH2:35][CH2:36][NH:37][CH2:38][CH2:39]1,[C:1](=[O:2])([c:3]1[cH:4][cH:5][c:6]([N:7]2[CH2:8][CH2:9][CH2:10][S:11]2(=[O:12])=[O:13])[cH:14][c:15]1[N:16]1[CH2:17][CH2:18][CH2:19][S:20]1(=[O:21])=[O:22])[N:37]1[CH2:36][CH2:35][N:34]([c:33]2[c:24]([CH3:23])[cH:25][c:26]([C:27]([F:28])([F:29])[F:30])[cH:31][n:32]2)[CH2:39][CH2:38]1
Cl[C:1]([CH3:2])=[O:3].[CH3:4][C:5]1([CH3:6])[CH2:7][CH2:8][S:9][c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]21,[C:1]([CH3:2])(=[O:3])[c:13]1[cH:12][cH:11][c:10]2[c:15]([cH:14]1)[C:5]([CH3:4])([CH3:6])[CH2:7][CH2:8][S:9]2
Cl[c:1]1[c:2]([Cl:3])[cH:4][n:5][c:6]([Cl:7])[n:8]1.[CH3:9][NH:10][CH:11]1[CH2:12][CH2:13][C:14]2([CH2:15][CH2:16][CH2:17][N:18]([C:19](=[O:20])[O:21][C:22]([CH3:23])([CH3:24])[CH3:25])[CH2:26]2)[CH2:27]1,[c:1]1([N:10]([CH3:9])[CH:11]2[CH2:12][CH2:13][C:14]3([CH2:15][CH2:16][CH2:17][N:18]([C:19](=[O:20])[O:21][C:22]([CH3:23])([CH3:24])[CH3:25])[CH2:26]3)[CH2:27]2)[c:2]([Cl:3])[cH:4][n:5][c:6]([Cl:7])[n:8]1
CS(=O)(=O)O[CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH3:7].[CH3:8][C:9]([CH3:10])([CH3:11])[O:12][C:13](=[O:14])[NH:15][C@@:16]([CH3:17])([CH2:18][OH:19])[CH2:20][CH2:21][c:22]1[cH:23][cH:24][c:25]([OH:26])[cH:27][cH:28]1,[CH2:1]([CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH3:7])[O:26][c:25]1[cH:24][cH:23][c:22]([CH2:21][CH2:20][C@:16]([NH:15][C:13]([O:12][C:9]([CH3:8])([CH3:10])[CH3:11])=[O:14])([CH3:17])[CH2:18][OH:19])[cH:28][cH:27]1
[O:1]=[C:2]=[N:3][CH:4]1[CH2:5][CH2:6][CH2:7][CH2:8][CH2:9]1.[cH:10]1[cH:11][cH:12][c:13]2[n:14][cH:15][c:16]([NH:17][c:18]3[n:19][cH:20][n:21][c:22]4[c:23]3[CH2:24][NH:25][CH2:26]4)[cH:27][c:28]2[cH:29]1,[O:1]=[C:2]([NH:3][CH:4]1[CH2:5][CH2:6][CH2:7][CH2:8][CH2:9]1)[N:25]1[CH2:24][c:23]2[c:18]([NH:17][c:16]3[cH:15][n:14][c:13]4[cH:12][cH:11][cH:10][cH:29][c:28]4[cH:27]3)[n:19][cH:20][n:21][c:22]2[CH2:26]1
Br[CH2:1][CH3:2].[CH3:3][CH2:4][O:5][C:6](=[O:7])[c:8]1[cH:9][cH:10][c:11]([NH:12][c:13]2[cH:14][c:15]3[c:16]4[c:17]([cH:18]2)[CH2:19][CH2:20][CH2:21][C:22]4([CH3:23])[CH2:24][CH2:25][CH2:26]3)[cH:27][cH:28]1,[CH2:1]([CH3:2])[N:12]([c:11]1[cH:10][cH:9][c:8]([C:6]([O:5][CH2:4][CH3:3])=[O:7])[cH:28][cH:27]1)[c:13]1[cH:14][c:15]2[c:16]3[c:17]([cH:18]1)[CH2:19][CH2:20][CH2:21][C:22]3([CH3:23])[CH2:24][CH2:25][CH2:26]2
Br[CH2:1][CH2:2][CH2:3][C:4]#[C:5][c:6]1[cH:7][cH:8][cH:9][c:10]([NH:11][C:12]([c:13]2[cH:14][cH:15][cH:16][c:17]([S:18]([c:19]3[cH:20][c:21]([CH3:22])[c:23]4[n:24][cH:25][c:26]([C:27]([NH2:28])=[O:29])[c:30]([NH:31][c:32]5[cH:33][cH:34][cH:35][c:36]([O:37][CH3:38])[cH:39]5)[c:40]4[cH:41]3)(=[O:42])=[O:43])[cH:44]2)=[O:45])[cH:46]1.[CH3:47][C:48]([CH3:49])([CH3:50])[Si:51]([CH3:52])([CH3:53])[O:54][C@@H:55]([CH2:56][NH2:57])[c:58]1[cH:59][cH:60][c:61]([OH:62])[c:63]2[c:64]1[cH:65][cH:66][c:67](=[O:68])[nH:69]2,[CH2:1]([CH2:2][CH2:3][C:4]#[C:5][c:6]1[cH:7][cH:8][cH:9][c:10]([NH:11][C:12]([c:13]2[cH:14][cH:15][cH:16][c:17]([S:18]([c:19]3[cH:20][c:21]([CH3:22])[c:23]4[n:24][cH:25][c:26]([C:27]([NH2:28])=[O:29])[c:30]([NH:31][c:32]5[cH:33][cH:34][cH:35][c:36]([O:37][CH3:38])[cH:39]5)[c:40]4[cH:41]3)(=[O:42])=[O:43])[cH:44]2)=[O:45])[cH:46]1)[NH:57][CH2:56][C@H:55]([O:54][Si:51]([C:48]([CH3:47])([CH3:49])[CH3:50])([CH3:52])[CH3:53])[c:58]1[cH:59][cH:60][c:61]([OH:62])[c:63]2[c:64]1[cH:65][cH:66][c:67](=[O:68])[nH:69]2
CC1(C)OB([c:1]2[cH:2][n:3]([CH3:4])[n:5][cH:6]2)OC1(C)C.O=S(=O)(O[c:7]1[cH:8][cH:9][c:10](-[c:11]2[cH:12][cH:13][c:14]([C:15]3=[N:16][C:17]4([C:18](=[O:19])[N:20]3[CH2:21][C@@H:22]3[CH2:23][CH2:24][N:25]([C:26](=[O:27])[CH:28]5[CH2:29][CH2:30]5)[CH2:31]3)[CH2:32][CH2:33]4)[cH:34][cH:35]2)[cH:36][cH:37]1)C(F)(F)F,[c:1]1(-[c:7]2[cH:8][cH:9][c:10](-[c:11]3[cH:12][cH:13][c:14]([C:15]4=[N:16][C:17]5([C:18](=[O:19])[N:20]4[CH2:21][C@@H:22]4[CH2:23][CH2:24][N:25]([C:26](=[O:27])[CH:28]6[CH2:29][CH2:30]6)[CH2:31]4)[CH2:32][CH2:33]5)[cH:34][cH:35]3)[cH:36][cH:37]2)[cH:2][n:3]([CH3:4])[n:5][cH:6]1
Br[CH2:1][c:2]1[c:3]([F:4])[cH:5][cH:6][cH:7][c:8]1[F:9].[CH3:10][C:11](=[O:12])[NH:13][c:14]1[cH:15][cH:16][nH:17][n:18]1,[CH2:1]([c:2]1[c:3]([F:4])[cH:5][cH:6][cH:7][c:8]1[F:9])[n:17]1[cH:16][cH:15][c:14]([NH:13][C:11]([CH3:10])=[O:12])[n:18]1
Br[c:1]1[c:2]([CH3:3])[cH:4][c:5]2[n:6][cH:7][o:8][c:9]2[cH:10]1.CC1(C)OB([c:11]2[cH:12][cH:13][c:14]([NH2:15])[n:16][cH:17]2)OC1(C)C,[c:1]1(-[c:11]2[cH:12][cH:13][c:14]([NH2:15])[n:16][cH:17]2)[c:2]([CH3:3])[cH:4][c:5]2[n:6][cH:7][o:8][c:9]2[cH:10]1
Cl[c:1]1[cH:2][cH:3][c:4]([N+:5](=[O:6])[O-:7])[cH:8][n:9]1.[CH3:10][S:11](=[O:12])(=[O:13])[NH:14][c:15]1[cH:16][cH:17][c:18]([O:19][c:20]2[cH:21][cH:22][c:23]3[c:24]([cH:25]2)[CH2:26][CH2:27][CH:28]([c:29]2[cH:30][cH:31][cH:32][c:33]([OH:34])[cH:35]2)[O:36]3)[n:37][cH:38]1,[c:1]1([O:34][c:33]2[cH:32][cH:31][cH:30][c:29]([CH:28]3[CH2:27][CH2:26][c:24]4[c:23]([cH:22][cH:21][c:20]([O:19][c:18]5[cH:17][cH:16][c:15]([NH:14][S:11]([CH3:10])(=[O:12])=[O:13])[cH:38][n:37]5)[cH:25]4)[O:36]3)[cH:35]2)[cH:2][cH:3][c:4]([N+:5](=[O:6])[O-:7])[cH:8][n:9]1
Cl[c:1]1[cH:2][cH:3][n:4][c:5]([Cl:6])[cH:7]1.[NH2:8][c:9]1[cH:10][cH:11][c:12]([OH:13])[cH:14][c:15]1[F:16],[c:1]1([O:13][c:12]2[cH:11][cH:10][c:9]([NH2:8])[c:15]([F:16])[cH:14]2)[cH:2][cH:3][n:4][c:5]([Cl:6])[cH:7]1
CC(C)(C)OC(=O)[N:1]1[CH2:2][CH2:3][CH:4]([n:5]2[n:6][c:7](-[c:8]3[cH:9][cH:10][cH:11][c:12]([N:13]([CH2:14][O:15][CH3:16])[S:17](=[O:18])(=[O:19])[c:20]4[cH:21][c:22]([F:23])[cH:24][cH:25][c:26]4[F:27])[c:28]3[F:29])[c:30](-[c:31]3[cH:32][cH:33][n:34][cH:35][cH:36]3)[cH:37]2)[CH2:38][CH2:39]1,[NH:1]1[CH2:2][CH2:3][CH:4]([n:5]2[n:6][c:7](-[c:8]3[cH:9][cH:10][cH:11][c:12]([N:13]([CH2:14][O:15][CH3:16])[S:17](=[O:18])(=[O:19])[c:20]4[cH:21][c:22]([F:23])[cH:24][cH:25][c:26]4[F:27])[c:28]3[F:29])[c:30](-[c:31]3[cH:32][cH:33][n:34][cH:35][cH:36]3)[cH:37]2)[CH2:38][CH2:39]1
C[O:1][C:2](=[O:3])[C@H:4]([CH:5]([CH3:6])[CH3:7])[N:8]1[CH2:9][c:10]2[cH:11][c:12](-[c:13]3[cH:14][cH:15][c:16]([NH:17][C:18](=[S:19])[NH:20][c:21]4[cH:22][cH:23][cH:24][cH:25][c:26]4[C:27]([F:28])([F:29])[F:30])[cH:31][cH:32]3)[cH:33][cH:34][c:35]2[C:36]1=[O:37],[OH:1][C:2](=[O:3])[C@H:4]([CH:5]([CH3:6])[CH3:7])[N:8]1[CH2:9][c:10]2[cH:11][c:12](-[c:13]3[cH:14][cH:15][c:16]([NH:17][C:18](=[S:19])[NH:20][c:21]4[cH:22][cH:23][cH:24][cH:25][c:26]4[C:27]([F:28])([F:29])[F:30])[cH:31][cH:32]3)[cH:33][cH:34][c:35]2[C:36]1=[O:37]
[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6](=[O:7])[CH2:8][C:9]([CH3:10])([CH3:11])[c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1.[Mg+][c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1,[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([OH:7])([CH2:8][C:9]([CH3:10])([CH3:11])[c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1)[c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1
Cl[C:1](=[O:2])[O:3][CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1.[CH3:11][O:12][c:13]1[cH:14][cH:15][c:16]([CH2:17][CH:18]([CH2:19][OH:20])[NH:21][CH2:22][CH2:23][CH:24]([c:25]2[cH:26][cH:27][cH:28][cH:29][cH:30]2)[c:31]2[cH:32][cH:33][cH:34][cH:35][cH:36]2)[cH:37][c:38]1[O:39][CH3:40],[C:1](=[O:2])([O:3][CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[N:21]([CH:18]([CH2:17][c:16]1[cH:15][cH:14][c:13]([O:12][CH3:11])[c:38]([O:39][CH3:40])[cH:37]1)[CH2:19][OH:20])[CH2:22][CH2:23][CH:24]([c:25]1[cH:26][cH:27][cH:28][cH:29][cH:30]1)[c:31]1[cH:32][cH:33][cH:34][cH:35][cH:36]1
O[C:1]([C@H:2]([CH2:3][C:4]([CH3:5])([CH3:6])[F:7])[NH:8][C@@:9]([C:10]#[C:11][CH2:12][OH:13])([c:14]1[cH:15][cH:16][c:17]([Br:18])[cH:19][cH:20]1)[C:21]([F:22])([F:23])[F:24])=[O:25].[NH2:26][C:27](=[O:28])[C@@H:29]([NH2:30])[CH2:31][S:32][C:33]([c:34]1[cH:35][cH:36][cH:37][cH:38][cH:39]1)([c:40]1[cH:41][cH:42][cH:43][cH:44][cH:45]1)[c:46]1[cH:47][cH:48][cH:49][cH:50][cH:51]1,[C:1]([C@H:2]([CH2:3][C:4]([CH3:5])([CH3:6])[F:7])[NH:8][C@@:9]([C:10]#[C:11][CH2:12][OH:13])([c:14]1[cH:15][cH:16][c:17]([Br:18])[cH:19][cH:20]1)[C:21]([F:22])([F:23])[F:24])(=[O:25])[NH:30][C@H:29]([C:27]([NH2:26])=[O:28])[CH2:31][S:32][C:33]([c:34]1[cH:35][cH:36][cH:37][cH:38][cH:39]1)([c:40]1[cH:41][cH:42][cH:43][cH:44][cH:45]1)[c:46]1[cH:47][cH:48][cH:49][cH:50][cH:51]1
O[C:1]([CH2:2][CH2:3][CH3:4])=[O:5].[NH2:6][C:7]1=[CH:8][C:9](=[O:10])[CH2:11][CH2:12][CH2:13]1,[C:1]([CH2:2][CH2:3][CH3:4])(=[O:5])[NH:6][C:7]1=[CH:8][C:9](=[O:10])[CH2:11][CH2:12][CH2:13]1
O=[N+:1]([O-])[c:2]1[c:3]([NH2:4])[n:5][c:6](-[n:7]2[n:8][c:9]([S:10][c:11]3[cH:12][cH:13][cH:14][cH:15][c:16]3[F:17])[c:18]3[n:19][cH:20][cH:21][cH:22][c:23]23)[n:24][c:25]1[NH2:26],[NH2:1][c:2]1[c:3]([NH2:4])[n:5][c:6](-[n:7]2[n:8][c:9]([S:10][c:11]3[cH:12][cH:13][cH:14][cH:15][c:16]3[F:17])[c:18]3[n:19][cH:20][cH:21][cH:22][c:23]23)[n:24][c:25]1[NH2:26]
O[C:1]([c:2]1[c:3]([O:4][CH2:5][CH2:6][O:7][CH3:8])[cH:9][cH:10][c:11]([F:12])[cH:13]1)=[O:14].[CH3:15][CH2:16][O:17][c:18]1[cH:19][c:20]([Cl:21])[cH:22][c:23]([Cl:24])[c:25]1[C:26]1=[N:27][CH:28]([NH2:29])[C:30](=[O:31])[NH:32][c:33]2[cH:34][cH:35][cH:36][cH:37][c:38]21,[C:1]([c:2]1[c:3]([O:4][CH2:5][CH2:6][O:7][CH3:8])[cH:9][cH:10][c:11]([F:12])[cH:13]1)(=[O:14])[NH:29][CH:28]1[N:27]=[C:26]([c:25]2[c:18]([O:17][CH2:16][CH3:15])[cH:19][c:20]([Cl:21])[cH:22][c:23]2[Cl:24])[c:38]2[c:33]([cH:34][cH:35][cH:36][cH:37]2)[NH:32][C:30]1=[O:31]
Cl[c:1]1[cH:2][c:3]([C:4](=[O:5])[OH:6])[c:7]([C:8](=[O:9])[OH:10])[cH:11][c:12]1[Cl:13],[cH:1]1[cH:2][c:3]([C:4](=[O:5])[OH:6])[c:7]([C:8](=[O:9])[OH:10])[cH:11][c:12]1[Cl:13]
CC(C)(C)OC(=O)[NH:1][CH2:2][CH2:3][N:4]([CH3:5])[C:6](=[O:7])[n:8]1[n:9][c:10]([CH2:11][n:12]2[n:13][n:14][c:15]3[c:16]([O:17][c:18]4[cH:19][c:20]([Cl:21])[cH:22][c:23]([C:24]#[N:25])[cH:26]4)[c:27]([Cl:28])[cH:29][cH:30][c:31]23)[c:32]2[cH:33][cH:34][cH:35][n:36][c:37]12,[NH3+:1][CH2:2][CH2:3][N:4]([CH3:5])[C:6](=[O:7])[n:8]1[n:9][c:10]([CH2:11][n:12]2[n:13][n:14][c:15]3[c:16]([O:17][c:18]4[cH:19][c:20]([Cl:21])[cH:22][c:23]([C:24]#[N:25])[cH:26]4)[c:27]([Cl:28])[cH:29][cH:30][c:31]23)[c:32]2[cH:33][cH:34][cH:35][n:36][c:37]12
O=[N+:1]([O-])[c:2]1[cH:3][cH:4][c:5]([CH3:6])[c:7]2[c:8]([Cl:9])[cH:10][c:11]([O:12][CH3:13])[n:14][c:15]12,[NH2:1][c:2]1[cH:3][cH:4][c:5]([CH3:6])[c:7]2[c:8]([Cl:9])[cH:10][c:11]([O:12][CH3:13])[n:14][c:15]12
CC(C)(C)[O:1][C:2](=[O:3])[CH2:4][CH2:5][O:6][CH2:7][CH2:8][CH2:9][c:10]1[cH:11][cH:12][cH:13][c:14](-[c:15]2[n:16][c:17](=[O:18])[c:19]3[cH:20][cH:21][cH:22][cH:23][c:24]3[s:25]2)[n:26]1,[OH:1][C:2](=[O:3])[CH2:4][CH2:5][O:6][CH2:7][CH2:8][CH2:9][c:10]1[cH:11][cH:12][cH:13][c:14](-[c:15]2[n:16][c:17](=[O:18])[c:19]3[cH:20][cH:21][cH:22][cH:23][c:24]3[s:25]2)[n:26]1
O=[C:1]([c:2]1[cH:3][cH:4][cH:5][c:6]([O:7][CH3:8])[cH:9]1)[CH3:10].[CH3:11][CH2:12][O:13][C:14](=[O:15])[CH2:16][C:17]#[N:18],[C:1]([c:2]1[cH:3][cH:4][cH:5][c:6]([O:7][CH3:8])[cH:9]1)([CH3:10])=[C:16]([C:14]([O:13][CH2:12][CH3:11])=[O:15])[C:17]#[N:18]
O=[CH:1][CH2:2][n:3]1[c:4](=[O:5])[cH:6][n:7][c:8]2[cH:9][cH:10][c:11]([F:12])[cH:13][c:14]12.[CH3:15][C:16]([CH3:17])([CH3:18])[O:19][C:20](=[O:21])[N:22]([CH2:23][c:24]1[cH:25][cH:26][c:27]2[c:28]([cH:29]1)[O:30][CH2:31][CH2:32][O:33]2)[CH:34]1[CH2:35][CH2:36][NH:37][CH2:38][CH2:39]1,[CH2:1]([CH2:2][n:3]1[c:4](=[O:5])[cH:6][n:7][c:8]2[cH:9][cH:10][c:11]([F:12])[cH:13][c:14]12)[N:37]1[CH2:36][CH2:35][CH:34]([N:22]([C:20]([O:19][C:16]([CH3:15])([CH3:17])[CH3:18])=[O:21])[CH2:23][c:24]2[cH:25][cH:26][c:27]3[c:28]([cH:29]2)[O:30][CH2:31][CH2:32][O:33]3)[CH2:39][CH2:38]1
Cl[c:1]1[n:2][c:3]([NH:4][C@H:5]2[C@H:6]([NH:7][S:8]([CH3:9])(=[O:10])=[O:11])[CH2:12][CH2:13][CH2:14][CH2:15]2)[c:16]([Cl:17])[cH:18][n:19]1.[CH3:20][O:21][c:22]1[cH:23][cH:24][c:25]2[c:26]([c:27]1[NH2:28])[CH2:29][N:30]([CH2:31][c:32]1[cH:33][cH:34][cH:35][cH:36][cH:37]1)[CH2:38][C:39](=[O:40])[NH:41]2,[c:1]1([NH:28][c:27]2[c:22]([O:21][CH3:20])[cH:23][cH:24][c:25]3[c:26]2[CH2:29][N:30]([CH2:31][c:32]2[cH:33][cH:34][cH:35][cH:36][cH:37]2)[CH2:38][C:39](=[O:40])[NH:41]3)[n:2][c:3]([NH:4][C@H:5]2[C@H:6]([NH:7][S:8]([CH3:9])(=[O:10])=[O:11])[CH2:12][CH2:13][CH2:14][CH2:15]2)[c:16]([Cl:17])[cH:18][n:19]1
CC1(C)OB([c:1]2[cH:2][n:3][cH:4][n:5][cH:6]2)OC1(C)C.I[c:7]1[cH:8][c:9]2[n:10][cH:11][n:12]([CH2:13][c:14]3[cH:15][cH:16][c:17]([O:18][CH2:19][c:20]4[cH:21][cH:22][c:23]([O:24][CH3:25])[n:26][cH:27]4)[c:28]([O:29][CH3:30])[cH:31]3)[c:32]2[cH:33][cH:34]1,[c:1]1(-[c:7]2[cH:8][c:9]3[n:10][cH:11][n:12]([CH2:13][c:14]4[cH:15][cH:16][c:17]([O:18][CH2:19][c:20]5[cH:21][cH:22][c:23]([O:24][CH3:25])[n:26][cH:27]5)[c:28]([O:29][CH3:30])[cH:31]4)[c:32]3[cH:33][cH:34]2)[cH:2][n:3][cH:4][n:5][cH:6]1
CS(=O)(=O)O[CH:1]([CH3:2])[c:3]1[cH:4][cH:5][o:6][n:7]1.[CH3:8][NH:9][c:10]1[n:11][cH:12][cH:13][c:14](-[c:15]2[c:16](-[c:17]3[cH:18][cH:19][c:20]([F:21])[cH:22][cH:23]3)[n:24][cH:25][n:26]2[CH:27]2[CH2:28][CH2:29][NH:30][CH2:31][CH2:32]2)[n:33]1,[CH:1]([CH3:2])([c:3]1[cH:4][cH:5][o:6][n:7]1)[N:30]1[CH2:29][CH2:28][CH:27]([n:26]2[c:15](-[c:14]3[cH:13][cH:12][n:11][c:10]([NH:9][CH3:8])[n:33]3)[c:16](-[c:17]3[cH:18][cH:19][c:20]([F:21])[cH:22][cH:23]3)[n:24][cH:25]2)[CH2:32][CH2:31]1
O=[CH:1][c:2]1[cH:3][cH:4][c:5]([O:6][CH2:7][c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[cH:14][cH:15]1.c1ccc([P+](c2ccccc2)(c2ccccc2)[CH:16]([C:17]([O:18][CH2:19][CH3:20])=[O:21])[O:22][CH2:23][CH3:24])cc1,[CH:1]([c:2]1[cH:3][cH:4][c:5]([O:6][CH2:7][c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[cH:14][cH:15]1)=[C:16]([C:17]([O:18][CH2:19][CH3:20])=[O:21])[O:22][CH2:23][CH3:24]
Cl[S:1]([CH3:2])(=[O:3])=[O:4].[CH3:5][CH2:6][c:7]1[c:8]2[c:9](=[O:10])[n:11][c:12]([CH2:13][OH:14])[n:15][c:16]-2[n:17]([CH:18]2[CH2:19][CH2:20][CH2:21][CH2:22]2)[nH:23]1,[S:1]([CH3:2])(=[O:3])(=[O:4])[O:14][CH2:13][c:12]1[n:11][c:9](=[O:10])[c:8]2[c:7]([CH2:6][CH3:5])[nH:23][n:17]([CH:18]3[CH2:19][CH2:20][CH2:21][CH2:22]3)[c:16]-2[n:15]1
Cl[S:1]([c:2]1[cH:3][cH:4][c:5]([CH3:6])[cH:7][cH:8]1)(=[O:9])=[O:10].[CH3:11][O:12][C:13](=[O:14])[c:15]1[cH:16][c:17]([I:18])[cH:19][nH:20]1,[S:1]([c:2]1[cH:3][cH:4][c:5]([CH3:6])[cH:7][cH:8]1)(=[O:9])(=[O:10])[n:20]1[c:15]([C:13]([O:12][CH3:11])=[O:14])[cH:16][c:17]([I:18])[cH:19]1
CC[O:1][C:2](=[O:3])[CH2:4][n:5]1[c:6](=[O:7])[n:8]([CH2:9][c:10]2[cH:11][cH:12][c:13]([Br:14])[cH:15][c:16]2[F:17])[c:18](=[O:19])[c:20]2[cH:21][cH:22][c:23]([Cl:24])[cH:25][c:26]12,[OH:1][C:2](=[O:3])[CH2:4][n:5]1[c:6](=[O:7])[n:8]([CH2:9][c:10]2[cH:11][cH:12][c:13]([Br:14])[cH:15][c:16]2[F:17])[c:18](=[O:19])[c:20]2[cH:21][cH:22][c:23]([Cl:24])[cH:25][c:26]12
CC[O:1][C:2](=[O:3])[c:4]1[c:5]([Cl:6])[c:7]([C:8]([CH3:9])([CH3:10])[CH3:11])[n:12][n:13]1[CH3:14],[OH:1][C:2](=[O:3])[c:4]1[c:5]([Cl:6])[c:7]([C:8]([CH3:9])([CH3:10])[CH3:11])[n:12][n:13]1[CH3:14]
I[CH3:1].[OH:2][C@H:3]([CH2:4][O:5][CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1)[C:13]([F:14])([F:15])[F:16],[CH3:1][O:2][C@H:3]([CH2:4][O:5][CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1)[C:13]([F:14])([F:15])[F:16]
Cl[C:1](=[O:2])[c:3]1[cH:4][cH:5][c:6]([F:7])[cH:8][c:9]1[Cl:10].[F:11][C:12]([F:13])([F:14])[c:15]1[cH:16][n:17]2[c:18]([n:19]1)[CH2:20][NH:21][CH2:22][CH2:23]2,[C:1](=[O:2])([c:3]1[cH:4][cH:5][c:6]([F:7])[cH:8][c:9]1[Cl:10])[N:21]1[CH2:20][c:18]2[n:17]([cH:16][c:15]([C:12]([F:11])([F:13])[F:14])[n:19]2)[CH2:23][CH2:22]1
Cl[c:1]1[c:2]([C:3]([O:4][CH2:5][CH3:6])=[O:7])[cH:8][n:9][c:10]([Cl:11])[cH:12]1.[NH2:13][CH2:14][CH2:15][c:16]1[cH:17][cH:18][cH:19][c:20]([F:21])[cH:22]1,[c:1]1([NH:13][CH2:14][CH2:15][c:16]2[cH:17][cH:18][cH:19][c:20]([F:21])[cH:22]2)[c:2]([C:3]([O:4][CH2:5][CH3:6])=[O:7])[cH:8][n:9][c:10]([Cl:11])[cH:12]1
[BrH:1].[CH2:2]=[CH:3][CH2:4][CH2:5][c:6]1[cH:7][cH:8][c:9]([Br:10])[cH:11][cH:12]1,[Br:1][CH2:2][CH2:3][CH2:4][CH2:5][c:6]1[cH:7][cH:8][c:9]([Br:10])[cH:11][cH:12]1
CC(C)(C)OC(=O)[C:1]1([C:2]([O:3][CH2:4][CH3:5])=[O:6])[CH2:7][CH:8]2[CH2:9][C:10](=[O:11])[CH2:12][CH:13]2[CH2:14]1,[CH:1]1([C:2]([O:3][CH2:4][CH3:5])=[O:6])[CH2:7][CH:8]2[CH2:9][C:10](=[O:11])[CH2:12][CH:13]2[CH2:14]1
